Item Name,Description,Mfg Part #,Category,Rate,Item Type
MAN7629413,Manitowoc® - 7629413 - Fan Motor 28230,,Material:Refrigeration,1476.68000,Inventory
MAN8930279,Manitowoc® - 8930279 - Filter Drier,,Material:Refrigeration,268.19000,Inventory
MAN9405803,Manitowoc® - 9405803 - Gallon Ice Machine Cleaner,,Material:Refrigeration,0.00000,Non Inventory
MAN9405813,Manitowoc® - 9405813 - Ice Machine Sanitizer Gallon,,Material:Refrigeration,0.00000,Non Inventory
MAPP GAS,MAPP GAS DISPOSABLE CYLINDER UNIWELD,,Material,59.33000,Non Inventory
MARATON B606 MOTOR,B606 Marathon 1/4 hp (1 speed) 277V 1800 RPM ODP 48Z Frame Resilient Base Blower Motor,,Material,529.66000,Inventory
MARLEY OEM FAN GUARD,MARLEY OEM GALVINIZED ONE PIECE FAN GUARD WITH HARDWARE,,Material,2360.00000,Inventory
MASTIC BRUSH,"MASTIC BRUSH 3""",,Material,10.91000,Non Inventory
MC ACETYLENE EXCHANGE,"Acetylene tank exchange, 10 cu/ft",,Material,116.20000,Non Inventory
MEMBRANE,3X150' MEMBRANE FOR MASTIC,MEMMSB,Material:Duct,52.45000,Non Inventory
MERV13 12X24X2,"PLEATED FILTER, MERV 13",,Material:Filters,0.00000,Inventory
MERV13 16X20X2,"PLEATED FILTER, MERV 13",,Material:Filters,0.00000,Inventory
